IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.11.77.234,31184,8443,true,HKG,Asia Pacific,Hong Kong,169,8.17
141.11.77.234,31128,8443,true,HKG,Asia Pacific,Hong Kong,65,7.93
141.11.77.234,31123,8443,true,HKG,Asia Pacific,Hong Kong,70,7.86
141.11.77.234,31175,8443,true,HKG,Asia Pacific,Hong Kong,74,7.84
141.11.77.234,31190,8443,true,HKG,Asia Pacific,Hong Kong,151,7.63
141.11.77.234,31180,8443,true,HKG,Asia Pacific,Hong Kong,73,7.47
141.11.77.234,31186,8443,true,HKG,Asia Pacific,Hong Kong,195,7.40
141.11.77.234,31175,8443,true,HKG,Asia Pacific,Hong Kong,74,6.61
23.158.136.197,27522,443,true,LAX,North America,Los Angeles,179,6.48
141.11.77.234,31177,8443,true,HKG,Asia Pacific,Hong Kong,174,6.27
166.0.188.91,12540,443,true,LAX,North America,Los Angeles,244,6.21
141.11.77.234,31142,8443,true,HKG,Asia Pacific,Hong Kong,72,6.21
141.11.77.234,31165,8443,true,HKG,Asia Pacific,Hong Kong,91,6.13
141.11.77.234,31141,8443,true,HKG,Asia Pacific,Hong Kong,67,6.10
23.158.136.27,18566,443,true,LAX,North America,Los Angeles,229,6.06
141.11.77.234,31181,8443,true,HKG,Asia Pacific,Hong Kong,154,5.96
141.11.77.234,31195,8443,true,HKG,Asia Pacific,Hong Kong,70,5.81
141.11.77.234,31176,8443,true,HKG,Asia Pacific,Hong Kong,145,5.76
141.11.77.234,31179,8443,true,HKG,Asia Pacific,Hong Kong,54,5.75
141.11.77.234,31126,8443,true,HKG,Asia Pacific,Hong Kong,155,5.35
213.218.254.109,5412,443,true,NRT,Asia Pacific,Tokyo,170,5.18
141.11.77.234,31149,8443,true,HKG,Asia Pacific,Hong Kong,170,5.18
141.11.77.234,31172,8443,true,HKG,Asia Pacific,Hong Kong,63,5.07
141.11.77.234,31197,8443,true,HKG,Asia Pacific,Hong Kong,95,5.05
141.11.77.234,31127,8443,true,HKG,Asia Pacific,Hong Kong,163,4.99
141.11.77.234,31199,8443,true,HKG,Asia Pacific,Hong Kong,98,4.97
141.11.77.234,31197,8443,true,HKG,Asia Pacific,Hong Kong,63,4.86
213.218.254.218,59104,443,true,NRT,Asia Pacific,Tokyo,171,4.79
141.11.77.234,31121,8443,true,HKG,Asia Pacific,Hong Kong,105,4.66
141.11.77.234,31143,8443,true,HKG,Asia Pacific,Hong Kong,125,4.59
141.11.77.234,31150,8443,true,HKG,Asia Pacific,Hong Kong,103,4.58
23.158.136.28,35465,443,true,LAX,North America,Los Angeles,173,4.53
141.11.77.234,31146,8443,true,HKG,Asia Pacific,Hong Kong,57,4.41
141.11.77.234,31148,8443,true,HKG,Asia Pacific,Hong Kong,72,4.38
141.11.77.234,31187,8443,true,HKG,Asia Pacific,Hong Kong,157,4.34
141.11.77.234,31170,8443,true,HKG,Asia Pacific,Hong Kong,60,4.20
141.11.77.234,31186,8443,true,HKG,Asia Pacific,Hong Kong,61,4.15
141.11.77.234,31185,8443,true,HKG,Asia Pacific,Hong Kong,38,4.12
141.11.77.234,31150,8443,true,HKG,Asia Pacific,Hong Kong,120,4.09
141.11.77.234,31185,8443,true,HKG,Asia Pacific,Hong Kong,169,4.00
141.11.77.234,31169,8443,true,HKG,Asia Pacific,Hong Kong,133,3.88
141.11.77.234,31198,8443,true,HKG,Asia Pacific,Hong Kong,102,3.81
141.11.77.234,31194,8443,true,HKG,Asia Pacific,Hong Kong,84,3.77
141.11.77.234,31190,8443,true,HKG,Asia Pacific,Hong Kong,146,3.69
141.11.77.234,31173,8443,true,HKG,Asia Pacific,Hong Kong,64,3.67
141.11.77.234,31171,8443,true,HKG,Asia Pacific,Hong Kong,68,3.66
141.11.77.234,31194,8443,true,HKG,Asia Pacific,Hong Kong,63,3.64
141.11.77.234,31195,8443,true,HKG,Asia Pacific,Hong Kong,103,3.57
141.11.77.234,31170,8443,true,HKG,Asia Pacific,Hong Kong,116,3.56
141.11.77.234,31176,8443,true,HKG,Asia Pacific,Hong Kong,106,3.52
213.218.254.248,8443,443,true,NRT,Asia Pacific,Tokyo,193,3.52
141.11.77.234,31141,8443,true,HKG,Asia Pacific,Hong Kong,68,3.51
141.11.77.234,31128,8443,true,HKG,Asia Pacific,Hong Kong,182,3.48
23.158.136.28,33670,443,true,LAX,North America,Los Angeles,184,3.46
141.11.77.234,31125,8443,true,HKG,Asia Pacific,Hong Kong,148,3.41
141.11.77.234,31127,8443,true,HKG,Asia Pacific,Hong Kong,59,3.39
141.11.77.234,31121,8443,true,HKG,Asia Pacific,Hong Kong,66,3.39
141.11.77.234,31147,8443,true,HKG,Asia Pacific,Hong Kong,161,3.31
141.11.77.234,31171,8443,true,HKG,Asia Pacific,Hong Kong,75,3.27
141.11.77.234,31199,8443,true,HKG,Asia Pacific,Hong Kong,140,3.27
141.11.77.234,31191,8443,true,HKG,Asia Pacific,Hong Kong,126,3.27
141.11.77.234,31165,8443,true,HKG,Asia Pacific,Hong Kong,165,3.24
141.11.77.234,31196,8443,true,HKG,Asia Pacific,Hong Kong,87,3.20
141.11.77.234,31144,8443,true,HKG,Asia Pacific,Hong Kong,67,3.17
141.11.77.234,31169,8443,true,HKG,Asia Pacific,Hong Kong,151,3.15
141.11.77.234,31148,8443,true,HKG,Asia Pacific,Hong Kong,67,3.13
141.11.77.234,31173,8443,true,HKG,Asia Pacific,Hong Kong,166,3.06
